Side;Opponent;Round;Number;Attacks;Text;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25
Reviewer_2;Author;1;9;0;When explaining the choice of regional cases, the term ‘representative’ appears misleading. It seems that the most prominent or successful cases have been selected, at least for Germany and France. How can these be 'representative’ for whatever population of biotech clusters in these countries? ;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;10;0;When outlining their research methodology, the authors should state precisely how many interviews they conducted. It looks as if one interview was done with the cluster manager in the six regions, but the authors also claim to have interviewed ‘the presidents of cluster firms’ (p. 8, line 20) without indicating the number. Given the conceptual framework outlined in figure 1, one might also wonder why national policymakers, i.e. representatives of the respective national cluster programmes, have not been surveyed as well.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;11;0;Some reflection on the adopted comparative case study research design with references would be desirable.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;12;0;sections 4.3 to 4.5 leave an impression that the assessment of these cases as ‘bottom-up’ is not completely justified. The authors seem to assume that cluster policies are either bottom-up or top-down, without any shades of grey in between. Compared to the Japanese cases, the French and German cases are clearly more bottom-up, but they still display clear – if not dominant – elements of top-down governance and public agency. This dichotomy should be refined and the classification of cases qualified as, e.g., ‘relatively bottom-up’.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;13;0;"For the German cases, the authors may have underestimated public agency, since they did not investigate the role of state governments (Bavaria, Baden-Württemberg) within the country’s system of multilevel governance, which is key to understand cluster policies in Germany (cf. KIESE 2013). Furthermore, the state government of Bavaria may be a regional government, but it is certainly not a local authority (like the city of Munich; page 15, line 29) in Germany’s system of multilevel governance.";;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;14;0;Section 5 does not include any reference and is purely descriptive and sometimes even superficial, lacking any comparison, explanation or assessment. This is probably the result of a rather weak empirical basis, provided it draws on interviews with a total of six cluster managers. Critical issues such as the cluster management organisation’s budget and finance have not been addressed. The relevance of the information presented here for the following discussion and conclusion remain far from clear. In my humble opinion, this is the weakest part of the paper that might well be omitted and replaced by a suitable conceptual frame for international comparison, as outlined above.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;15;0;As also elaborated above, the conclusion should go beyond a mere summary to include methodological reflection, implications for policy (learning), as well as a more extensive discussion of further research perspectives.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;16;0;Page 3, line 3: The authors might want to link to the literature on differentiated knowledge bases, which assigns an analytical (science-based) knowledge base to the biotech industry (cf. ASHEIM ET AL.2011).;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;17;0;Page 4, line 23: ‘few studies’ – If you mean ‘few’, please state the references. If ‘few’ means ‘no’, then please say so straightaway.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;18;0;Page 6, line 25: I would suggest softening the statement that matched funding ‘prevents moral hazard and crowding out’. It certainly helps preventing, partly prevents, or reduces the risk of these problems occurring.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;19;0;Section 2 contains a number of “expectations”, which could be flagged out and numbered as hypotheses. Taking these up in the empirical discussion could help the reader’s orientation.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;20;0;Page 8, lines 1-2: This is interesting indeed. Is there comparable evidence on policy learnin between Germany and France? Timing and content suggest that French national policies may well have been inspired by the German BioRegio contest.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;21;0;Page 10, line 19 – ‘several cluster policies’: I would address this family of related programmes as one policy rather than many.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;22;0;Page 10, line 28: The number of 85 applicants contains some clusters who applied more than once in the three rounds of the contest.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;23;0;Section 3.3: There is a little bit of literature on French national cluster policy that deserves a brief review or at least reference here.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;24;0;"Page 12, lines 11-12: Table 2 provides a descriptive summary, but no ‘explanation’ – see major comments.
";;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;25;0;Page 14, line 21: How can this be a cluster if there are ‘only a few biotech ventures’? If the aim of public policy is to grow a cluster around a research organisation or hospital, this does not seem to produce any meaningful outcomes as yet.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;26;0;Page 15, lines 22-23: ‘Large firms are on the whole not active in clusters’ – As a general statement, this is certainly not true.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;27;0;Page 15, line 24: Here and elsewhere, universities are attributed with the term ‘famous’. This should be backed up with evidence (data) and preferably rephrased, such as ‘recognised research universities’, or ‘elite’ with reference to the German federal government’s programme of university excellence.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;28;0;Page 15, line 27: Repetition – the IZB incubator was already mentioned on line 9;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;29;0;Section 4.5: Unlike the regional cluster initiatives in Alsace and Baden, the trinational BioValleyinitiative has hardly had any impact in terms of intensifying cross-border interaction, confirming problems that KOSCHATZKY (2000) had identified long before. Indeed, many INTERREG projects fail to overcome the differences in national languages, legislations and cultures, even though the regions are neighbours;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;30;0;The layout of the tables may be improved, especially the spacing of the text;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;31;0;The paper contains funding information in Yen and Euros. This should be harmonised, or preferably conversions given in brackets or footnotes for the reader’s convenience.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;32;0;The paper is well-written and makes fluent reading, but still requires some minor language editing. Recurring mistakes include the use of articles (a/the) and singular versus plural;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;5;2;We revised the concept and its explanation, and added some references in Section 2.2 and in Introduction. For more details, please see below. ;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;6;2;In this manuscript, we do not intend to demonstrate direct performance effect of cluster conditions, cluster policy, and cluster management. This is beyond the scope of our paper. It would be an important research topic to challenge the “technocratic faith”, but we cut the discussion about the factors of cluster performance from the text and Figure 1 in order to avoid any misunderstanding. Instead, we added a detailed discussion about “initial conditions” (now “basic conditions”) of clusters in Section 2.2 and 3.1 (a new section). ;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;7;3;In page 4 below in Section 2.2, we added a brief explanation of the “initial” (now “basic”) conditions of clusters. There we suggested that they comprise various regional characteristics and that also scientific or industrial focus may differ across clusters within life science or biotechnology. In the new Section 3.1, we explained the differences of basic conditions in more detail. ;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;8;4;It is true that in some cases local cluster organization had been established and had started its activity before the focal cluster policy started. Because of limited information, we could not sufficiently consider cluster and policy dynamics over time, but referred to the lack of dynamic approach in our study in the conclusion. ;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;9;5;It is true that in some cases local cluster organization had been established and had started its activity before the focal cluster policy started. Because of limited information, we could not sufficiently consider cluster and policy dynamics over time, but referred to the lack of dynamic approach in our study in the conclusion. ;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;10;6;We recognized that we did not concretely explain the initial (we changed the term to “basic” in therevision) conditions of clusters in the previous version. Moreover, we recognize that it is important to discuss in detail how these countries differ regarding basic conditions and why the national cluster policies differ across them. Therefore, we fundamentally changed the structure of our manuscript and set up a new Section 3.1 to discuss these issues in detail. Here, we cited the suggested book chapter and paper, but mainly used statistical evidence from OECD Science, Technology and Industry Scoreboard on (different) innovation systems to characterize basic conditions of clusters and to distinguish between private- and public-driven clusters. We summarized the discussion in Table 1 (new);;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;11;7;Maybe “intellectual cluster” is a specific jargon in the Japanese policy. Following your suggestion,and according to the EU reports we cited in our manuscript, we deleted the adjective “intellectual” for clusters and just use “clusters”, because it does neither affect our concept nor findings. ;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;12;8;We did not include USA in the international comparison because, as you correctly suggested, there is no comparable national cluster policy there. However, we use USA in Table 1 on basic conditions as the baseline reference for the three countries. ;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;13;9;We recognize that the term “representative” is misleading. We replaced it with “outstanding” in the revised manuscript.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;14;10;We added detailed information about the number and types of interview partners and interview time on page 9 at the end of Section 2.3 (Research Methodology).;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;15;10;We did not interview the officers in charge of cluster policy in the government because information on national cluster policy was sufficiently available from cluster managers and second sources including ministry’s websites and because we are more interested in the relationship of cluster policywith basic conditions and local management than in the cluster policy itself.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;16;11;With 3 references, we discussed in the (newly inserted) third paragraph of Section 2.3 the advantages of comparative case studies across countries focusing on biotechnology.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;17;12;The classification between top-down and bottom-up clusters is misleading. In the conceptual framework we distinguish between public-driven and private-driven clusters, so that in the revised version we focused on this type of distinction and cut all descriptions on top-down and bottom-up clusters. ;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;18;13;Referring to Kiese (2013) and Sternberg et al. (2010), but also other papers such as Crespy et al. (2007) for France, we added that, especially for Germany, we should not underestimate the roles of states and local authorities in the cluster policy. Finally, in the conclusion, we stressed the lack of multilevel governance approach as a limitation, which should be more explicitly considered in future research. .;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;19;14;We recognized that this section has several problems, but only this section describes and compares local cluster management based on our own interviews, so that this is the core part of our manuscript. Therefore, we fundamentally changed this section in the following way. First, we have some reference in the revised version, whereas this section is mainly based on our interviews. Second, at the beginning of this section, we explained the relevance of this section in our concept, especially with regard to our (new) hypotheses. Third, more importantly, we reorganized this section to a comparison of cluster management across three countries, focusing on the selection procedure of joint R&D projects (and cutting other information such as monitoring process and support programs). In this way, we made it clear what we do in this section: to check the consistency of local cluster management (regarding project selection) with the cluster’s basic conditions and the national policy. We believe that we could clarify the relevance of the content of this section with the preceding part and the conclusion of this manuscript;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;20;14;Cluster Organization’s governance and financing, which was already described in another section in the previous version, is now explained even earlier, in Section 3.2. ;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;21;15;We cut the most part of the discussion in the conclusion (which was mostly redundant with the contents of preceding sections), and added policy implication and some limitations (lack of multilevel governance and dynamic perspectives, possible selection bias of target clusters, and the descriptive and qualitative nature of the study) combined with future research perspectives. ;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;22;16;We cited this paper in footnote 4 in page 3.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;23;17;We agree with the suggestion and changed “few” to “no”. We also checked all the other terms “few” in the manuscript and treated them in the suggested way.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;24;18;We changed the sentence (now page 6, line 22) in the following way: “may enhance the incentives of member firms to succeed and partially prevent moral hazard and crowding out”.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;25;19;Based on the argument in Section 2.2, we presented three hypotheses in page 7, which are repeatedly addressed in later sections and the conclusion.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;26;20;We found no evidence on policy learning between Germany and France.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;27;21;We changed the phrase to “a series of national cluster policy” (now page 18, line 5) at the beginning of Section 4.2.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;28;22;We noticed in footnote 18 in page 18 that some cluster regions may have applied for this program twice or three times after failing in the previous competition.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;29;23;We cited these studies in Introduction and in Section 4.3 (page 18, footnotes 20 and 21).;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;30;24;We cut the previous Table 2 (on each target cluster and cluster management) in the revision and also the related sentence.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;31;25;We agree with you. However, according to the MEXT’s definition, clusters need not involve local high-tech ventures. R&D collaboration between local public research institute and private firms outside of the cluster area is also an important part of a cluster for MEXT. Regarding the aim of local authorities, which includes the development of a cluster around a research organization or hospital, indeed cluster policy has not produced any outcomes yet.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;32;26;We cut this sentence.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;33;27;We used “prominent” and “excellent” instead of “famous”.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;34;28;We cut this sentence.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;35;29;We cited this paper in footnote 14 in Section 3.2. (3) to mention that Trinational BioValley has hardly had any impact in terms of intensifying cross-border interaction.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;36;30;We changed the layout of the tables enlarging the font.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;37;31;In the revision, we write the funding amount for Japan in Yen, but give the converged amount in Euro in parentheses. We use the most recent exchange rate for convenience, and explain it where it is first mentioned (note to Table 1 in page 16 and footnote 17 in page 17).;;;;;;;;;;;;;;;;;;;;
Reviewer_1;Author;3;1;0;I would encourage you to have a native speaker look at it, mainly to clarify the language in some places.;;;;;;;;;;;;;;;;;;;;
Reviewer_1;Author;3;2;0;Content-wise to me the key observation is the - potentially systematic - connection between the way cluster policies arestructure and the organization of cluster initiatives. This is not a big suprise, and it doesn't really answer the question asto which model is better (only that there are internally consistent models that are different). But it is still a usual observation to make.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_1;4;1;1;The revised version went through a professional, native English editing.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_1;4;2;2;Indeed, it is not a big surprise that the characteristics of national cluster policies and their local implementation are consistent, but still it is our (small but significant) contribution to concretely show the consistency in international comparison with original interviews of cluster managers. It is beyond the scope of our manuscript to answer the question as to which model is better for the cluster performance, so we leave it as a future research agenda.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;3;1;0;Although the new section 3.1 helps situating the cases within their respective national contexts, it’s focus is on performance indicators. If the underlying institutional differences would have been revealed as suggested, this section would be even more valuable for understanding the differences. This section now uses the term ‘innovation system’ at the national scale, but there is no discussion of or reference to the concept of national systems of innovation. A substantial body of literature has grown on the back of seminal contributions by Edquist (1997), Freeman (1987, 1988, 1995) with reference to Japan, Lundvall (1992), and Nelson (1993).;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;3;2;0;Although ‘top-down’ and ‘bottom-up’ have been replaced by public-driven and ‘private-driven’, the dichotomist nature remains as the focus of my critique. I would still like to see a qualification stating that private and public initiative often interacts in cluster development, and that the degree of private and public sector involvement usually differs from case to case.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;3;3;0;P. 11: References on Japan and France should be added to the last two sentences of the first paragraph.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;3;4;0;P. 14: On section 4.5 in the first draft, I commented that “Unlike the regional cluster initiatives in Alsace and Baden, the trinational BioValley initiative has hardly had any impact in terms of intensifying cross-border interaction, confirming problems that Koschatzky (2000) had identified long before. Indeed, many INTERREG projects fail to overcome the differences in national languages, legislations and cultures, even though the regions are neighbours.” In response, the authors now cite this paper in footnote 14 in Section 3.2. to support the view that BioValley has hardly had any impact in terms of intensifying cross-border interaction. This reformulation is incorrect as the Koschatzky (2000) paper pre-dated the BioValley initiative and does not look at INTERREG either. Unfortunately, my claim regarding the limited impact of BioValley on cross-border networking draws on conversations with practitioners and a field trip to the region, but cannot be supported by a reference as far as I know. I would therefore suggest to drop this footnote altogether.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;3;5;0;P. 16: Sources should be stated underneath table 2.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;3;6;0;P. 18 (section 4.1, top paragraph): I would rather prefer “a series of national cluster programmes” as part of an evolving policy.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;3;7;0;P. 22: “differences might be attributed to those in innovation systems as basic conditions of clusters.” This is central, so the discussion should be summarised in the conclusions, preferably taking up the three hypotheses: To what extent and how can differences in cluster policies and cluster management be linked to differences in national systems of innovation?;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;4;3;1;We added a discussion on the national systems of innovation in the first two paragraphs of Section 3.1 (p. 9) referring to the suggested seminal works. Moreover, in the remaining part of this section (pp. 10-11), we added some sentences with supporting references on the underlying institutional differences.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;4;4;2;At the beginning of Section 3.2, as well as at the end of the description of each cluster, we mitigated the dichotomist nature in the typology of cluster development by some qualification. For example, we changed the formulation from “characterized as public-driven clusters” to “characterized as more public-driven than private-driven clusters”.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;4;5;3;We added a new reference on the development in Japan (Okubo and Tomiura 2010) but deleted the sentence about France because we could not show a reference in English.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;4;6;4;According to this suggestion, we dropped footnote 14 with the related reference.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;4;7;5;We added the information sources under the table.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;4;8;6;We replaced “policy” by “programs” in this sentence.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;4;9;7;In Conclusion, we presented again three hypotheses in a new paragraph in Conclusion after the first paragraph (p. 22). Then, in the following paragraph (p. 23) we added a discussion on how differences in cluster policies and cluster management are linked to those in national systems of innovation, with three sentences.;;;;;;;;;;;;;;;;;;;;
