Side;Opponent;Round;Number;Attacks;Text;;;;;;;;
Reviewer 2;Author;1;7;0;Page 3, lines 131-133: “We compiled the Caprini Risk Assessment Score for VTE preoperatively and all the patients showed a score of 7 or more, for that reason antithrombotic chemoprophylaxis was administered.” Do you routinely perform a Caprini assessment for all patients in your clinic?;;;;;;;;
Reviewer 2;Author;1;8;0;Page 3, lines 133-134: “Patients were then divided into two groups according to the drugs employed in antithrombotic chemoprophylaxis:” How was it decided which patients received which form of prophylaxis? This is a very important point and should be described clearly.;;;;;;;;
Reviewer 2;Author;1;9;0;Page 3, lines 140-141: “We collected data for all groups of patients in terms of drain permanence, thromboembolic events, and hematoma formation.” How did you define and verify a thromboembolic event? How did you define and verify excessive hematoma formation? How long was the follow-up time? And how did you obtain this information?;;;;;;;;
Reviewer 2;Author;1;10;0;Page 3, line 142: The Mann-Whitney test was used for what?;;;;;;;;
Reviewer 2;Author;1;11;0;The Discussion section could benefit from a language revision, especially in the latter part, to make the flow better. Also, a brief discussion on the limitations of your study should be included.;;;;;;;;
Author;Reviewer 1;2;1;1;The observation of the reviewer has been accepted and the manuscript was modified accordingly.;;;;;;;;
Author;Reviewer 1;2;2;2;The observation of the reviewer has been accepted and the manuscript was modified accordingly.;;;;;;;;
Author;Reviewer 1;2;3;3;The new manuscript has been evaluated by an expert of English language.;;;;;;;;
Author;Reviewer 1;2;4;4;The observation of the reviewer has been accepted and the manuscript was modified accordingly.;;;;;;;;
Author;Reviewer 1;2;5;5;The observation of the reviewer has been accepted and the manuscript was modified accordingly.;;;;;;;;
Author;Reviewer 1;2;6;6;The observation of the reviewer has been accepted and the manuscript was modified accordingly.;;;;;;;;
Author;Reviewer 1;2;7;7;The observation of the reviewer has been accepted and the manuscript was modified accordingly.;;;;;;;;
Author;Reviewer 1;2;8;8;The observation of the reviewer has been accepted and the manuscript was modified accordingly.;;;;;;;;
Author;Reviewer 1;2;9;9;The observation of the reviewer has been accepted and the table 1 was modified accordingly.;;;;;;;;
Author;Reviewer 1;2;10;10;The observation of the reviewer has been accepted and the manuscript was modified accordingly.;;;;;;;;
Author;Reviewer 2;2;1;1;we are very sorry for the mistake, and the manuscript was modified accordingly.;;;;;;;;
Author;Reviewer 2;2;2;2;The criticism of the reviewer has been accepted and the manuscript was modified accordingly.;;;;;;;;
Author;Reviewer 2;2;3;3,4,5;The observation of the reviewer has been accepted and the manuscript was modified accordingly.;;;;;;;;
Author;Reviewer 2;2;4;6,7,8,9,10;The observation of the reviewer has been accepted and the manuscript was modified accordingly.;;;;;;;;
Author;Reviewer 2;2;5;11;The observation of the reviewer has been accepted and the manuscript was modified accordingly.;;;;;;;;
Reviewer 1;Author;3;1;0;"I have one major comment. It is still not clear how thrombophilia was defined. You write (page 3, lines 129-130): ""Only women with thrombophilia defined as a factor correlated with thrombotic phenomena linked to congenital or acquired factors. [21,40-43]""
 
 I suggest you alter the sentence, e.g. to something like: ""Thrombophilia was defined as either the diagnosis of an inherited thrombophilia, a personal history of VTE or a familial history of VTE."" If that is how you defined thrombophilia?";;;;;;;;
Reviewer 1;Author;3;2;0;Also, another round of language editing may be suitable.;;;;;;;;
Author;Reviewer 1;4;1;1;The observation of the reviewer has been accepted and the table 1 was modified accordingly.;;;;;;;;
Author;Reviewer 1;4;2;2;The new manuscript has been evaluated by an expert of English language.;;;;;;;;
