;Review;Annotator0: Number of argument sets;Annotator0: Number of author's arguments;Annotator0: Total number of reviewers' arguments;Annotator0: Average number of reviewers' arguments;Annotator0: Average length of argument chains;Annotator0: Number of author's admissible arguments;Annotator0: Total number of reviewers' admissible arguments;Annotator0: Average number of reviewers' admissible arguments;Annotator0: Paper in complete extension;Annotator1: Number of argument sets;Annotator1: Number of author's arguments;Annotator1: Total number of reviewers' arguments;Annotator1: Average number of reviewers' arguments;Annotator1: Average length of argument chains;Annotator1: Number of author's admissible arguments;Annotator1: Total number of reviewers' admissible arguments;Annotator1: Average number of reviewers' admissible arguments;Annotator1: Paper in complete extension
70;nano12040652;4;15;15;5.0;2.875;14;2;0.6666666666666666;False;4;12;11;3.6666666666666665;3.0;12;0;0.0;True
71;nu14051073;3;24;23;11.5;3.0;24;0;0.0;True;3;24;23;11.5;3.0;24;0;0.0;True
72;nu14122489;3;33;33;16.5;2.9696969696969697;32;1;0.5;False;3;30;29;14.5;3.0;30;0;0.0;True
73;nu14122490;3;12;11;5.5;3.0;12;0;0.0;True;3;11;10;5.0;3.0;11;0;0.0;True
74;obesities2010010;4;10;9;3.0;3.0;10;0;0.0;True;4;10;9;3.0;3.0;10;0;0.0;True
75;plants11050622;4;31;30;10.0;3.0;31;0;0.0;True;4;30;29;9.666666666666666;3.0;30;0;0.0;True
76;reprodmed3020015;3;46;45;22.5;3.0454545454545454;46;1;0.5;True;4;40;39;13.0;3.0;40;0;0.0;True
77;rs14061437;3;12;11;5.5;3.0;12;0;0.0;True;3;10;9;4.5;3.0;10;0;0.0;True
78;s22072682;3;11;10;5.0;3.0;11;0;0.0;True;3;11;10;5.0;3.0;11;0;0.0;True
79;su14020860;4;10;10;3.3333333333333335;2.9;9;1;0.3333333333333333;False;4;10;9;3.0;3.0;10;0;0.0;True
80;su14052976;4;25;25;8.333333333333334;2.96;24;1;0.3333333333333333;False;3;22;22;11.0;2.9545454545454546;21;1;0.5;False
81;su14052981;4;44;43;14.333333333333334;3.0;44;0;0.0;True;4;44;43;14.333333333333334;3.0;44;0;0.0;True
82;su14095590;6;35;34;6.8;3.0;35;0;0.0;True;6;31;30;6.0;3.0;31;0;0.0;True
83;su14127346;4;16;15;5.0;3.0;16;0;0.0;True;4;16;15;5.0;3.0;16;0;0.0;True
84;toxins14060409;3;12;11;5.5;3.0;12;0;0.0;True;3;12;11;5.5;3.0;12;0;0.0;True
85;v11060548;3;18;18;9.0;2.9444444444444446;17;1;0.5;False;3;17;17;8.5;2.9411764705882355;16;1;0.5;False
86;w14030367;5;51;50;12.5;3.0;51;0;0.0;True;5;47;46;11.5;3.0;47;0;0.0;True
87;w14081258;3;14;14;7.0;2.9285714285714284;13;1;0.5;False;4;12;11;3.6666666666666665;3.0;12;0;0.0;True
